Name,Solution
heuristic_001.gr,302468
heuristic_002.gr,188316
heuristic_003.gr,616444
heuristic_004.gr,514373
heuristic_005.gr,1071
heuristic_006.gr,1003
heuristic_007.gr,48729
heuristic_008.gr,1016
heuristic_009.gr,178419
heuristic_010.gr,135765
heuristic_011.gr,1089
heuristic_012.gr,219412
heuristic_013.gr,1044
heuristic_014.gr,114059
heuristic_015.gr,2922
heuristic_016.gr,2932
heuristic_017.gr,2935
heuristic_018.gr,150528
heuristic_019.gr,2827
heuristic_020.gr,1089
heuristic_021.gr,149747
heuristic_022.gr,81892
heuristic_023.gr,1004
heuristic_024.gr,205329
heuristic_025.gr,102341
heuristic_026.gr,2899
heuristic_027.gr,129579
heuristic_028.gr,177736
heuristic_029.gr,274153
heuristic_030.gr,1089
heuristic_031.gr,1089
heuristic_032.gr,86571
heuristic_033.gr,46527
heuristic_034.gr,174169
heuristic_035.gr,277266
heuristic_036.gr,2926
heuristic_037.gr,2926
heuristic_038.gr,223963
heuristic_039.gr,140291
heuristic_040.gr,166202
heuristic_041.gr,1005
heuristic_042.gr,2910
heuristic_043.gr,1059
heuristic_044.gr,2937
heuristic_045.gr,43356
heuristic_046.gr,150158
heuristic_047.gr,116615
heuristic_048.gr,124993
heuristic_049.gr,2936
heuristic_050.gr,100412
heuristic_051.gr,119276
heuristic_052.gr,134497
heuristic_053.gr,1089
heuristic_054.gr,106698
heuristic_055.gr,268164
heuristic_056.gr,1094
heuristic_057.gr,1029
heuristic_058.gr,1037
heuristic_059.gr,2829
heuristic_060.gr,2817
heuristic_061.gr,358489
heuristic_062.gr,1003
heuristic_063.gr,1089
heuristic_064.gr,575391
heuristic_065.gr,2908
heuristic_066.gr,1061
heuristic_067.gr,2935
heuristic_068.gr,86188
heuristic_069.gr,1089
heuristic_070.gr,397670
heuristic_071.gr,1089
heuristic_072.gr,44463
heuristic_073.gr,144609
heuristic_074.gr,332817
heuristic_075.gr,176731
heuristic_076.gr,13200
heuristic_077.gr,430258
heuristic_078.gr,2830
heuristic_079.gr,117274
heuristic_080.gr,1054
heuristic_081.gr,184120
heuristic_082.gr,337846
heuristic_083.gr,1090
heuristic_084.gr,227703
heuristic_085.gr,97871
heuristic_086.gr,1089
heuristic_087.gr,75855
heuristic_088.gr,193109
heuristic_089.gr,1089
heuristic_090.gr,1089
heuristic_091.gr,339748
heuristic_092.gr,212633
heuristic_093.gr,213122
heuristic_094.gr,340121
heuristic_095.gr,312850
heuristic_096.gr,96482
heuristic_097.gr,2934
heuristic_098.gr,349388
heuristic_099.gr,209475
heuristic_100.gr,144731
