Name,Solution Size,Time Taken (seconds), Exec Time (seconds)
heuristic_001.gr,300197,258.51,278.901
heuristic_002.gr,188105,174.97,275.552
heuristic_003.gr,595637,147.67,277.119
heuristic_004.gr,513627,257.96,276.586
heuristic_005.gr,1029,220.1,286.264
heuristic_006.gr,995,55.7,301.105
heuristic_007.gr,47532,227,301.118
heuristic_008.gr,1016,128.46,301.251
heuristic_009.gr,178460,234.09,300.554
heuristic_010.gr,135821,240.39,300.396
heuristic_011.gr,1092,0.27,301.463
heuristic_012.gr,219479,169.64,300.65
heuristic_013.gr,1042,18.17,301.246
heuristic_014.gr,114078,250.53,300.367
heuristic_015.gr,2924,151.86,310.073
heuristic_016.gr,2933,54.36,327.137
heuristic_017.gr,2935,220.25,319.195
heuristic_018.gr,150587,217.8,300.455
heuristic_019.gr,2828,51.44,313.922
heuristic_020.gr,1092,280.01,301.504
heuristic_021.gr,149776,286.32,300.482
heuristic_022.gr,81921,238.39,413.253
heuristic_023.gr,1011,64.29,302.582
heuristic_024.gr,205366,299.17,299.047
heuristic_025.gr,102408,210.81,301.669
heuristic_026.gr,2901,16.23,292.69
heuristic_027.gr,129611,291.71,275.328
heuristic_028.gr,177798,259.04,275.508
heuristic_029.gr,274074,274.03,275.869
heuristic_030.gr,1090,269.14,276.537
heuristic_031.gr,1091,165.45,301.673
heuristic_032.gr,86604,271.83,300.254
heuristic_033.gr,45702,204.41,301.214
heuristic_034.gr,174207,242.68,412.712
heuristic_035.gr,277338,200.85,302.203
heuristic_036.gr,2927,19.35,311.844
heuristic_037.gr,2928,30.44,302.196
heuristic_038.gr,223903,283.66,303.468
heuristic_039.gr,140279,232.56,298.868
heuristic_040.gr,166204,235.61,301.899
heuristic_041.gr,1010,296.3,299.635
heuristic_042.gr,2910,92.74,344.31
heuristic_043.gr,1057,232.08,303.402
heuristic_044.gr,2937,94.04,331.88
heuristic_045.gr,42520,278.74,303.158
heuristic_046.gr,150193,258.7,299.132
heuristic_047.gr,116650,289.38,301.931
heuristic_048.gr,125013,267.26,298.981
heuristic_049.gr,2937,70.88,319.982
heuristic_050.gr,100448,213.84,301.668
heuristic_051.gr,119308,237.11,298.792
heuristic_052.gr,134554,187.41,301.773
heuristic_053.gr,1092,210.55,302.899
heuristic_054.gr,106750,246.68,298.761
heuristic_055.gr,268225,216.28,302.106
heuristic_056.gr,1070,179.13,299.502
heuristic_057.gr,1007,283.64,303.567
heuristic_058.gr,1035,181.59,299.855
heuristic_059.gr,2829,61.81,332.749
heuristic_060.gr,2819,17.95,306.695
heuristic_061.gr,357283,249.36,299.907
heuristic_062.gr,1011,123.36,303.429
heuristic_063.gr,1091,167.74,300.042
heuristic_064.gr,575411,248.47,300.51
heuristic_065.gr,2909,49.87,332.069
heuristic_066.gr,1059,209.7,299.866
heuristic_067.gr,2936,50.18,322.374
heuristic_068.gr,86214,128.47,298.896
heuristic_069.gr,1091,0.61,303.642
heuristic_070.gr,396768,272.08,299.992
heuristic_071.gr,1091,184.76,303.656
heuristic_072.gr,44521,16.03,301.16
heuristic_073.gr,144637,285.76,300.803
heuristic_074.gr,328505,282.01,299.879
heuristic_075.gr,176679,257.22,302.816
heuristic_076.gr,13199,107.98,299.702
heuristic_077.gr,425506,299.9,303.878
heuristic_078.gr,2829,66.09,330.785
heuristic_079.gr,117340,281.97,299.051
heuristic_080.gr,1053,12.14,303.67
heuristic_081.gr,184185,215.24,299.304
heuristic_082.gr,337932,250.36,303.362
heuristic_083.gr,1070,227.72,300.18
heuristic_084.gr,227759,250.65,299.462
heuristic_085.gr,97917,241.07,302.56
heuristic_086.gr,1092,122.51,300.263
heuristic_087.gr,75898,261.6,302.487
heuristic_088.gr,193168,278.24,299.251
heuristic_089.gr,1091,1.73,300.285
heuristic_090.gr,1091,0.32,303.818
heuristic_091.gr,339814,225.63,299.792
heuristic_092.gr,212625,223.61,303.001
heuristic_093.gr,213122,0.08,300.922
heuristic_094.gr,339446,298.61,299.901
heuristic_095.gr,312843,271.87,303.375
heuristic_096.gr,96453,299.83,299.139
heuristic_097.gr,2934,88.9,344.133
heuristic_098.gr,349501,240.16,300.33
heuristic_099.gr,209555,282.57,303.266
heuristic_100.gr,144770,203.59,299.327
