Name,Time Taken (seconds)
exact_001.gr,0.004
exact_003.gr,0.002
exact_005.gr,0.003
exact_007.gr,0.002
exact_009.gr,0.002
exact_011.gr,0.002
exact_013.gr,0.002
exact_015.gr,0.002
exact_017.gr,0.002
exact_019.gr,0.003
exact_021.gr,0.002
exact_023.gr,0.002
exact_025.gr,0.002
exact_027.gr,0.002
exact_029.gr,0.002
exact_031.gr,0.004
exact_033.gr,0.012
exact_035.gr,0.002
exact_037.gr,0.002
exact_039.gr,0.002
exact_041.gr,0.002
exact_043.gr,0.002
exact_045.gr,0.002
exact_047.gr,0.002
exact_049.gr,0.003
exact_051.gr,0.002
exact_053.gr,0.002
exact_055.gr,0.008
exact_057.gr,0.003
exact_059.gr,0.002
exact_061.gr,0.002
exact_063.gr,0.002
exact_065.gr,0.002
exact_067.gr,0.002
exact_069.gr,0.002
exact_071.gr,0.059
exact_073.gr,0.163
exact_075.gr,0.012
exact_077.gr,0.006
exact_079.gr,0.005
exact_081.gr,0.006
exact_083.gr,0.049
exact_085.gr,0.809
exact_087.gr,0.951
exact_089.gr,1.103
exact_091.gr,
exact_093.gr,
exact_095.gr,
exact_097.gr,0.015
exact_099.gr,0.005
exact_101.gr,
exact_103.gr,
exact_105.gr,
exact_107.gr,3.875
exact_109.gr,0.014
exact_111.gr,
exact_113.gr,
exact_115.gr,
exact_117.gr,0.041
exact_119.gr,
exact_121.gr,0.117
exact_123.gr,
exact_125.gr,
exact_127.gr,
exact_129.gr,
exact_131.gr,
exact_133.gr,0.022
exact_135.gr,0.062
exact_137.gr,
exact_139.gr,
exact_141.gr,
exact_143.gr,
exact_145.gr,
exact_147.gr,0.021
exact_149.gr,
exact_151.gr,
exact_153.gr,
exact_155.gr,0.023
exact_157.gr,0.12
exact_159.gr,8.737
exact_161.gr,
exact_163.gr,
exact_165.gr,
exact_167.gr,
exact_169.gr,
exact_171.gr,
exact_173.gr,
exact_175.gr,
exact_177.gr,0.137
exact_179.gr,
exact_181.gr,1.169
exact_183.gr,
exact_185.gr,
exact_187.gr,
exact_189.gr,0.017
exact_191.gr,
exact_193.gr,0.016
exact_195.gr,0.819
exact_197.gr,0.014
exact_199.gr,0.522
