Name,Isolated,Single Edge,Dominating,Set Size
exact_153.gr,0,0,5,0
exact_019.gr,0,0,1,0
exact_161.gr,0,30,163,30
exact_015.gr,0,0,3,0
exact_143.gr,0,24,387,24
exact_173.gr,0,6,0,6
exact_013.gr,0,0,1,0
exact_115.gr,0,10,0,10
exact_167.gr,0,3,91,3
exact_103.gr,0,0,0,0
exact_093.gr,0,0,0,0
exact_023.gr,0,1,1,1
exact_105.gr,0,0,95,0
exact_055.gr,0,0,14203,0
exact_165.gr,0,8,160,8
exact_095.gr,0,0,4,0
exact_125.gr,0,1,225,1
exact_197.gr,0,227,0,227
exact_109.gr,0,0,0,0
exact_169.gr,0,12,91,12
exact_041.gr,0,2,7,2
exact_151.gr,0,0,0,0
exact_047.gr,0,3,2,3
exact_157.gr,0,799,0,799
exact_179.gr,0,102,0,102
exact_079.gr,0,0,44,0
exact_021.gr,0,6,1,6
exact_089.gr,0,0,0,0
exact_099.gr,0,63,1,63
exact_027.gr,0,0,47,0
exact_137.gr,0,0,0,0
exact_133.gr,0,6,703,6
exact_191.gr,0,1161,0,1161
exact_193.gr,0,289,0,289
exact_139.gr,0,0,0,0
exact_035.gr,0,0,0,0
exact_195.gr,0,500,0,500
exact_063.gr,0,15,0,15
exact_009.gr,0,0,2,0
exact_155.gr,0,0,7588,0
exact_113.gr,0,0,0,0
exact_075.gr,0,0,115,0
exact_119.gr,0,16,1532,16
exact_111.gr,0,0,0,0
exact_001.gr,0,0,0,0
exact_031.gr,0,1,0,1
exact_007.gr,0,1,1,1
exact_141.gr,0,6,0,6
exact_083.gr,0,0,89,0
exact_091.gr,29,0,1912,29
exact_117.gr,0,0,12093,0
exact_097.gr,0,71,1,71
exact_053.gr,0,6,63,6
exact_181.gr,0,2,4818,2
exact_129.gr,0,9,0,9
exact_185.gr,0,1,0,1
exact_081.gr,0,0,70,0
exact_177.gr,0,374,55,374
exact_025.gr,0,0,14,0
exact_077.gr,0,0,77,0
exact_003.gr,0,0,0,0
exact_159.gr,0,105,382,105
exact_145.gr,0,6,107,6
exact_123.gr,0,67,0,67
exact_183.gr,0,465,0,465
exact_005.gr,0,0,3,0
exact_171.gr,0,4,0,4
exact_135.gr,0,91,7,91
exact_051.gr,0,2,9,2
exact_187.gr,0,8,0,8
exact_199.gr,0,3682,96,3682
exact_175.gr,0,29,426,29
exact_127.gr,0,34,0,34
exact_045.gr,0,4,14,4
exact_011.gr,0,1,1,1
exact_087.gr,0,0,0,0
exact_039.gr,0,0,58,0
exact_043.gr,0,0,89,0
exact_049.gr,0,1,4,1
exact_067.gr,0,25,0,25
exact_057.gr,0,7,0,7
exact_131.gr,0,36,1,36
exact_061.gr,0,5,77,5
exact_163.gr,0,26,499,26
exact_029.gr,0,2,1,2
exact_121.gr,0,191,102,191
exact_101.gr,0,0,0,0
exact_037.gr,0,0,16,0
exact_071.gr,0,0,58,0
exact_059.gr,0,8,0,8
exact_149.gr,0,0,0,0
exact_017.gr,0,0,4,0
exact_085.gr,0,0,0,0
exact_189.gr,0,0,0,0
exact_107.gr,0,1,0,1
exact_147.gr,0,216,6,216
exact_073.gr,0,0,44,0
exact_069.gr,0,9,159,9
exact_033.gr,0,0,2,0
exact_065.gr,0,11,58,11
